date,price
01/01/2021,165
01/02/2021,178
01/03/2021,192
01/04/2021,205
01/05/2021,240
01/06/2021,380
01/07/2021,365
01/08/2021,340
01/09/2021,260
01/10/2021,320
01/11/2021,360
01/12/2021,420
01/01/2022,390
01/02/2022,470
01/03/2022,630
01/04/2022,430
01/05/2022,520
01/06/2022,480
01/07/2022,490
01/08/2022,410
01/09/2022,320
01/10/2022,240
01/11/2022,310
01/12/2022,260
01/01/2023,280
01/02/2023,340
01/03/2023,390
01/04/2023,330
01/05/2023,290
01/06/2023,230
01/07/2023,220
01/08/2023,215
01/09/2023,240
01/10/2023,300
01/11/2023,350
01/12/2023,320
01/01/2024,330
01/02/2024,325
01/03/2024,318
01/04/2024,305
01/05/2024,280
01/06/2024,230
01/07/2024,260
01/08/2024,245
01/09/2024,238
01/10/2024,225
01/11/2024,205
01/12/2024,185
01/01/2025,220
01/02/2025,210
01/03/2025,215
01/04/2025,208
01/05/2025,198
01/06/2025,185
01/07/2025,175
01/08/2025,182
01/09/2025,190
01/10/2025,178
01/11/2025,185
01/12/2025,192
01/01/2026,198
01/02/2026,205
01/03/2026,240
01/04/2026,218
01/05/2026,225
01/06/2026,236
